ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pm,gaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,objinfoflag,qualityflag,ndetections,nstackdetections,ginfoflag,ginfoflag2,ginfoflag3,rinfoflag,rinfoflag2,rinfoflag3,iinfoflag,iinfoflag2,iinfoflag3,zinfoflag,zinfoflag2,zinfoflag3,yinfoflag,yinfoflag2,yinfoflag3,SAM Flag
1.0835334156001022e+17,334.15603643,0.002570000011473894,0.29146548,0.0031999999191612005,17.700525585566886,0.0024174283154098546,17.292449920353565,0.0018170095208362188,17.199922714951615,0.0012881717668834713,17.17850864405125,0.0034587604712252498,17.15153159748519,0.005247347777431814,5875.0,1.5,-1.3,-38.323434,-38.715048,-38.811199,-38.810336,-38.860371,-38.736245,-38.52903,-38.068517,56.00866529248171,0.0014184858470154631,68.69636177450302,16.396898052458102,0.0014184858470154631,16.111469586176206,0.0014184858470154631,16.10483416485529,0.0014184858470154631,2.678773129740439e+18,334.1560372216608,0.104878135,0.29146344506874045,0.10663253,0.3832042854498686,0.1238594,6.357601,0.6403247774109828,0.11560986,-6.325272835990787,0.12815863,0.9140166,503635968.0,60.0,84.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,K0
1.0839334068864357e+17,334.06887584,0.002589999930933118,0.32759077,0.003909999970346689,21.343123544280836,0.033794163777516754,20.08236658358499,0.011411210765975555,18.52602666281758,0.0027767746841415295,17.806637259132323,0.004500525399735439,17.443499070248077,0.0057562724998901004,3400.0,3.75,-4.0,-33.066442,-34.066293,-35.594682,-36.289004,-36.650718,-37.139656,-37.434648,-37.147427,54.17375842401276,0.007303043519465802,514.8766783913769,16.158580183989148,0.007303043519465802,15.370944717707253,0.007303043519465802,15.191017296386343,0.007303043519465802,2.678777115470104e+18,334.0688731176638,1.047369,0.3275861596937255,0.98279214,3.841915180795288,1.1233804,16.005856,-7.129603298749667,1.2593434,-14.330253827906661,1.2593559,2.3930733,503635968.0,60.0,96.0,5.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,c1
1.0839334251296922e+17,334.25137918,0.009379999712109566,0.33230331,0.010490000247955322,20.87495777605796,0.024913054083131585,20.60455300714192,0.01849017714021028,20.446875427487452,0.014212178604526482,20.217001360115823,0.03172307652729442,20.24942363444079,0.07140702049262775,5687.5,0.0,1.0,-38.168342,-38.471499,-38.588631,-38.644243,-38.685932,-38.590421,-38.434704,-37.973078,58.9902916410488,0.01705268201205135,13.998349434185027,19.52434840102519,0.01705268201205135,19.18742193474329,0.01705268201205135,19.18189951342238,0.01705268201205135,2.6787749164485693e+18,334.25137713785614,2.4501495,0.33230722890702674,5.814757,nan,nan,nan,nan,nan,nan,nan,nan,436527104.0,52.0,74.0,5.0,262144069.0,655488.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,195035141.0,524416.0,196608.0,K0
1.0844334365499136e+17,334.36550833,0.010420000180602074,0.36745597,0.010520000010728836,22.868215707882126,0.13624605149851995,21.692659299202145,0.04920007691320701,20.278978060107242,0.012255004273263485,19.63311479666632,0.028040057847161102,19.341772943814647,0.03041402988261626,3600.0,4.0,-3.9,-33.738667,-34.607209,-36.030361,-36.625748,-36.909347,-37.305826,-37.641906,-37.32732,56.345214561534505,0.030229176174492986,24.898177416177177,18.16386632151089,0.030229176174492986,17.335142855229,0.030229176174492986,17.182580433908086,0.030229176174492986,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,58.0,5.0,195035141.0,655360.0,196608.0,195035141.0,655488.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
1.0834334447433886e+17,334.44741639,0.0094200000166893,0.29058662,0.009600000455975533,20.593292822147834,0.01854032558941218,19.57081046856136,0.007554585227441443,19.08107791339709,0.00452866335001729,18.915409101931612,0.011121224150334291,18.795847550619797,0.020099083178282368,4437.5,0.25,0.9,-36.177562,-37.104349,-37.533262,-37.72122,-37.838544,-37.968243,-38.094573,-37.682786,56.666274971331546,0.006161100531130361,108.57320986750273,17.822509731307935,0.006161100531130361,17.203536265026045,0.006161100531130361,17.148174843705128,0.006161100531130361,2.679101643198456e+18,334.4474089927337,0.39247188,0.29058717657358113,0.53991556,-0.17733838077705255,0.4089311,6.801089,-6.3404098067873305,0.59425855,-2.4604903288105713,0.7453327,0.9279827,436527104.0,52.0,22.0,5.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,K0
1.0817334295510605e+17,334.29549385,0.002400000113993883,0.14630052,0.0016799999866634607,18.483998946802902,0.00472645768509811,17.957318014777986,0.0033830086941421685,17.70900036989867,0.001979973118033004,17.464935414459884,0.003722700669592149,17.380063576117912,0.007147252449986693,5062.5,3.0,1.0,-37.330658,-37.849172,-38.09234,-38.190093,-38.254356,-38.270271,-38.258516,-37.827173,55.742387064411474,0.002026288839045613,944.1596262646499,16.596593824387863,0.002026288839045613,16.11570535810597,0.002026288839045613,16.079899936785054,0.002026288839045613,2.6787233424794634e+18,334.29549405195525,0.13639012,0.14629765592074245,0.11956981,0.6426554136064974,0.15478893,8.2092905,2.2153705964315464,0.1387031,-7.904719063984634,0.14576332,0.8439175,503635968.0,60.0,79.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,K0
1.0841334063970472e+17,334.06397969,0.006539999973028898,0.34520803,0.005840000230818987,18.320641751765283,0.0034926632183582365,17.149637844437077,0.0014716835675869539,16.490484972482,0.0007949680453570232,16.181339990314008,0.0016845514914007283,15.973185618994941,0.002252802148678764,3800.0,5.25,-3.7,-35.397698,-36.404124,-37.058686,-37.228045,-37.514694,-37.683869,-38.007623,-37.567673,53.54370743559866,0.0009572743456583137,6849.18405331786,14.984316195575051,0.0009572743456583137,14.167918729293156,0.0009572743456583137,14.140720307972247,0.0009572743456583137,2.678777424707757e+18,334.0639758233181,0.8099947,0.3452003608444553,0.8090779,nan,nan,nan,nan,nan,nan,nan,nan,503635968.0,60.0,91.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
1.0822334245982789e+17,334.24597486,0.02703000046312809,0.18949331,0.029850000515580177,22.69359923851384,0.11916222580755897,21.758317582775252,0.0516210433140349,21.249833840978514,0.032788001002374216,21.218001332759492,0.08420402381638185,21.140539518703363,0.1709840057346127,4400.0,4.0,-3.0,-36.145678,-37.063236,-37.446915,-37.593435,-37.710688,-37.907324,-38.110802,-37.700311,58.804048702746094,0.046589813919309324,2.9046582142192667,20.02120246272248,0.046589813919309324,19.32508099644059,0.046589813919309324,19.268423575119677,0.046589813919309324,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,29.0,5.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,102760517.0,128.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,c1
1.0820334389783518e+17,334.38978776,0.006909999996423721,0.17065813,0.007329999934881926,20.33013444771886,0.016758236161906498,20.049331365134623,0.015034303614879395,20.066767555567804,0.009760313098327587,19.999585601845872,0.02698109245520539,20.017404311760227,0.07301402179917445,6125.0,0.0,-1.4,-38.672713,-38.921432,-38.944487,-38.956341,-38.988492,-38.79778,-38.523837,-38.059845,58.98933765640549,0.01632318499017475,1.7028554210129896,19.316035416381876,0.01632318499017475,19.097334950099984,0.01632318499017475,19.094178528779068,0.01632318499017475,2.6787219337302057e+18,334.389787776042,0.62948936,0.17066183595915282,0.5592487,0.5732365662245991,0.8117567,0.7531671,-0.3870621918713964,0.8519685,-0.646098715310273,0.90584236,0.9819116,436527232.0,52.0,71.0,10.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,195035141.0,524416.0,196608.0,K0
1.0849334207396021e+17,334.20741355,0.0019600000232458115,0.40809931,0.0012600000482052565,19.75382064916298,0.008780232626398984,18.515877066508768,0.0036416212403980897,17.59789712332065,0.0015233484984517372,17.291271518756723,0.0038926595191348013,17.022022707867826,0.004642379639994706,3700.0,5.25,-3.7,-34.932512,-35.916079,-36.765533,-37.017915,-37.335581,-37.564293,-37.896877,-37.481317,54.429701813123394,0.0022748975162295384,1733.501999019548,15.989886573099785,0.0022748975162295384,15.164659106817886,0.0022748975162295384,15.11307068549698,0.0022748975162295384,2.67915393872028e+18,334.2074096400372,0.16737753,0.4080943118475155,0.21171321,1.464992137138451,0.1847111,17.91311,-10.630007455325087,0.21394649,-14.41813031111711,0.24766982,1.0321258,503635968.0,60.0,98.0,10.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
1.0853334135738966e+17,334.13579103,0.009050000458955765,0.44932771,0.009089999832212925,22.562652619011583,0.15477312356939715,21.677145017078423,0.05147613191881602,20.207127100597017,0.011735023722977913,19.606591122444616,0.017572087522323643,19.22984564672176,0.0328310228356879,3500.0,4.5,-3.4,-33.491894,-34.303141,-35.825639,-36.430737,-36.732005,-37.179216,-37.561442,-37.254713,56.01335550117069,0.03354333140214892,26.401129565531924,17.958617261147086,0.03354333140214892,17.08374779486519,0.03354333140214892,16.923328373544273,0.03354333140214892,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,66.0,5.0,195035141.0,655360.0,196608.0,195035141.0,524288.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,c1
1.0838334058359792e+17,334.05837784,0.0016899999463930726,0.322886,0.002469999948516488,17.14113850206476,0.0017368513775693408,16.40287613271749,0.0009458084523971967,16.174923744194686,0.0006661962370098433,16.098254965318517,0.001592654280808023,15.974085472677206,0.002243814662459958,5062.5,0.25,-1.2,-37.292255,-37.992347,-38.206898,-38.268207,-38.391819,-38.388056,-38.301496,-37.855472,54.388560963394525,0.0006906888057654617,1789.4522293833038,15.124982723370916,0.0006906888057654617,14.71889925708902,0.0006906888057654617,14.69777483576811,0.0006906888057654617,2.6787770811103636e+18,334.0583771058777,0.059648212,0.3228817233695531,0.05911127,0.7637650746011023,0.06456165,12.590712,-0.29450288436238087,0.07671875,-12.587266368065128,0.07403572,0.9397419,503635968.0,60.0,95.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,K0
